Number of total tracking : 13229
Max speed : 100
Damage : 4
Time Taken : 03:40:28

 | No    | X         | Y          | Distance            | Speed (avg) | Speed (before) | Speed (after) | Heading | 
 | 258   | 20814.88  | 69588.34   | 27.7782542412479    | 99.5        | 100            | 99            | 88      | 
 | 259   | 20833.22  | 69567.48   | 27.7823869882326    | 99.5        | 99             | 100           | 90      | 
 | 260   | 20850.06  | 69545.38   | 27.7835896968932    | 100         | 100            | 100           | 91      | 
 | 261   | 20866.89  | 69523.27   | 27.7835896968932    | 100         | 100            | 100           | 91      | 
 | 262   | 20881.86  | 69499.87   | 27.781272244525     | 99.5        | 100            | 99            | 92      | 
 | 263   | 20896.82  | 69476.46   | 27.782324376481     | 99.5        | 99             | 100           | 92      | 
 | 264   | 20909.9   | 69451.95   | 27.7830883400529    | 100         | 100            | 100           | 93      | 
 | 265   | 20922.97  | 69427.43   | 27.7840073614926    | 99.5        | 100            | 99            | 93      | 
 | 266   | 20934.08  | 69401.97   | 27.7783037474957    | 99          | 99             | 99            | 94      | 
 | 267   | 20944.2   | 69376.09   | 27.7833157126453    | 99.5        | 99             | 100           | 95      | 
 | 268   | 20954.32  | 69350.22   | 27.7833157126453    | 100         | 100            | 100           | 95      | 
 | 269   | 20963.74  | 69324.09   | 27.7794099591007    | 100         | 100            | 100           | 94      | 
 | 270   | 20973.16  | 69297.95   | 27.7794099591007    | 100         | 100            | 100           | 94      | 
 | 271   | 20983.46  | 69272.16   | 27.7781406031331    | 100         | 100            | 100           | 94      | 
 | 272   | 20994.74  | 69246.77   | 27.783203125        | 100         | 100            | 100           | 93      | 
 | 273   | 21006.02  | 69221.38   | 27.783203125        | 100         | 100            | 100           | 93      | 
 | 274   | 21018.29  | 69196.45   | 27.7784313921854    | 99.5        | 100            | 99            | 92      | 
 | 275   | 21030.56  | 69171.53   | 27.7784313921854    | 99.5        | 99             | 100           | 92      | 
 | 276   | 21043.45  | 69146.92   | 27.780194394425     | 100         | 100            | 100           | 91      | 
 | 277   | 21058.88  | 69123.82   | 27.7826925617631    | 99.5        | 100            | 99            | 85      | 
