Number of total tracking : 31336
Total Time taken : 12:51:49

 | No    | X         | Y          | Heading | Speed | Damage | Date and Time         | 
 | 395   | 134514    | 80413.73   | 21      | 71    | 0      | 12/5/2020 7:48:33 PM  | 
 | 397   | 134477.2  | 80404.07   | 21      | 63    | 0      | 12/5/2020 7:48:35 PM  | 
 | 399   | 134441.2  | 80395.3    | 21      | 69    | 0      | 12/5/2020 7:48:37 PM  | 
 | 401   | 134402.6  | 80385.65   | 21      | 77    | 0      | 12/5/2020 7:48:39 PM  | 
 | 403   | 134356.5  | 80374.7    | 22      | 84    | 0      | 12/5/2020 7:48:41 PM  | 
 | 405   | 134309.1  | 80367.7    | 23      | 90    | 0      | 12/5/2020 7:48:43 PM  | 
 | 407   | 134257.5  | 80364.88   | 25      | 95    | 0      | 12/5/2020 7:48:45 PM  | 
 | 409   | 134203.7  | 80368.45   | 27      | 98    | 0      | 12/5/2020 7:48:47 PM  | 
 | 411   | 134151.7  | 80378.46   | 29      | 98    | 0      | 12/5/2020 7:48:49 PM  | 
 | 413   | 134096.6  | 80395.34   | 30      | 99    | 0      | 12/5/2020 7:48:51 PM  | 
 | 415   | 134045.3  | 80412.45   | 30      | 91    | 0      | 12/5/2020 7:48:53 PM  | 
 | 417   | 133998    | 80427.3    | 30      | 95    | 0      | 12/5/2020 7:48:55 PM  | 
 | 419   | 133945.4  | 80444.4    | 30      | 100   | 0      | 12/5/2020 7:48:57 PM  | 
 | 421   | 133889.2  | 80462.4    | 30      | 99    | 0      | 12/5/2020 7:48:59 PM  | 
 | 423   | 133846.2  | 80476.2    | 30      | 80    | 0      | 12/5/2020 7:49:01 PM  | 
 | 425   | 133803.6  | 80490.5    | 30      | 69    | 0      | 12/5/2020 7:49:03 PM  | 
 | 427   | 133769    | 80501.69   | 30      | 65    | 0      | 12/5/2020 7:49:05 PM  | 
 | 429   | 133735.7  | 80512.34   | 30      | 60    | 0      | 12/5/2020 7:49:07 PM  | 
 | 431   | 133705    | 80522.22   | 30      | 56    | 0      | 12/5/2020 7:49:09 PM  | 
 | 433   | 133675.3  | 80529.82   | 28      | 52    | 0      | 12/5/2020 7:49:11 PM  | 
 | 435   | 133646.4  | 80532.52   | 25      | 49    | 0      | 12/5/2020 7:49:13 PM  | 
 | 437   | 133620.8  | 80530.48   | 23      | 45    | 0      | 12/5/2020 7:49:15 PM  | 
 | 439   | 133597.3  | 80524.46   | 20      | 42    | 0      | 12/5/2020 7:49:17 PM  | 
 | 441   | 133575.7  | 80515.32   | 18      | 41    | 0      | 12/5/2020 7:49:19 PM  | 
 | 443   | 133554.9  | 80503.89   | 16      | 43    | 0      | 12/5/2020 7:49:21 PM  | 
 | 445   | 133535.5  | 80491.63   | 16      | 43    | 0      | 12/5/2020 7:49:23 PM  | 
 | 447   | 133515    | 80478.2    | 16      | 44    | 0      | 12/5/2020 7:49:25 PM  | 
 | 449   | 133491.9  | 80464.8    | 17      | 52    | 0      | 12/5/2020 7:49:27 PM  | 
 | 451   | 133463.3  | 80450.46   | 18      | 63    | 0      | 12/5/2020 7:49:29 PM  | 
 | 453   | 133426.7  | 80440.39   | 22      | 73    | 0      | 12/5/2020 7:49:31 PM  | 
 | 455   | 133384.5  | 80439.68   | 27      | 78    | 0      | 12/5/2020 7:49:33 PM  | 
 | 457   | 133343.5  | 80450.48   | 31      | 84    | 0      | 12/5/2020 7:49:35 PM  | 
 | 459   | 133299.2  | 80473.97   | 34      | 83    | 0      | 12/5/2020 7:49:37 PM  | 
 | 461   | 133265.2  | 80503.05   | 38      | 80    | 0      | 12/5/2020 7:49:39 PM  | 
 | 463   | 133236.2  | 80537.26   | 40      | 79    | 0      | 12/5/2020 7:49:41 PM  | 
 | 465   | 133211.4  | 80571.77   | 40      | 81    | 0      | 12/5/2020 7:49:43 PM  | 
 | 467   | 133185.9  | 80612.89   | 42      | 86    | 0      | 12/5/2020 7:49:45 PM  | 
 | 469   | 133163.2  | 80658.13   | 43      | 89    | 0      | 12/5/2020 7:49:47 PM  | 
 | 471   | 133142.6  | 80703.05   | 43      | 90    | 0      | 12/5/2020 7:49:49 PM  | 
 | 473   | 133119    | 80747.33   | 41      | 90    | 0      | 12/5/2020 7:49:51 PM  | 
 | 475   | 133095.9  | 80790.64   | 43      | 88    | 0      | 12/5/2020 7:49:53 PM  | 
 | 477   | 133076.6  | 80835.09   | 43      | 83    | 0      | 12/5/2020 7:49:55 PM  | 
 | 479   | 133064.8  | 80863.5    | 44      | 31    | 0      | 12/5/2020 7:49:57 PM  | 
 | 481   | 133062.2  | 80869.98   | 45      | 0     | 0      | 12/5/2020 7:49:59 PM  | 
 | 483   | 133062.2  | 80869.98   | 45      | 0     | 0      | 12/5/2020 7:50:29 PM  | 
 | 485   | 133062.2  | 80869.98   | 45      | 0     | 0      | 12/5/2020 7:50:31 PM  | 
 | 487   | 133061.4  | 80872.45   | 45      | 11    | 0      | 12/5/2020 7:50:33 PM  | 
 | 489   | 133058    | 80882.09   | 45      | 24    | 0      | 12/5/2020 7:50:35 PM  | 
 | 491   | 133053.1  | 80897.16   | 45      | 35    | 0      | 12/5/2020 7:50:37 PM  | 
 | 493   | 133045.3  | 80918.99   | 44      | 48    | 0      | 12/5/2020 7:50:39 PM  | 
 | 495   | 133034    | 80948.33   | 44      | 58    | 0      | 12/5/2020 7:50:41 PM  | 
 | 497   | 133027.5  | 80982.27   | 49      | 63    | 0      | 12/5/2020 7:50:43 PM  | 
 | 499   | 133021.8  | 81016.14   | 45      | 60    | 0      | 12/5/2020 7:50:45 PM  | 
 | 501   | 133004.3  | 81043.03   | 39      | 57    | 0      | 12/5/2020 7:50:47 PM  | 
 | 503   | 132986.4  | 81068.35   | 41      | 59    | 0      | 12/5/2020 7:50:49 PM  | 
 | 505   | 132970.6  | 81100.59   | 43      | 63    | 0      | 12/5/2020 7:50:51 PM  | 
 | 507   | 132956.3  | 81133.13   | 43      | 62    | 0      | 12/5/2020 7:50:53 PM  | 
 | 509   | 132942.8  | 81165.38   | 44      | 67    | 0      | 12/5/2020 7:50:55 PM  | 
 | 511   | 132927.7  | 81201.55   | 44      | 73    | 0      | 12/5/2020 7:50:57 PM  | 
 | 513   | 132910.6  | 81240.15   | 43      | 78    | 0      | 12/5/2020 7:50:59 PM  | 
 | 515   | 132890.9  | 81279.58   | 42      | 77    | 0      | 12/5/2020 7:51:01 PM  | 
 | 517   | 132869.9  | 81317.07   | 41      | 76    | 0      | 12/5/2020 7:51:03 PM  | 
 | 519   | 132843.8  | 81348.88   | 38      | 75    | 0      | 12/5/2020 7:51:05 PM  | 
 | 521   | 132819.9  | 81377.85   | 38      | 37    | 0      | 12/5/2020 7:51:07 PM  | 
 | 523   | 132817.2  | 81380.78   | 38      | 0     | 0      | 12/5/2020 7:51:09 PM  | 
 | 525   | 132817.2  | 81380.78   | 38      | 0     | 0      | 12/5/2020 7:51:14 PM  | 
 | 527   | 132817.2  | 81380.78   | 38      | 0     | 0      | 12/5/2020 7:51:51 PM  | 
